codigo,sigla,nome
0011347,ADOLESCENTRO,ADOLESCENTRO BRASILIA
0426067,AFYA,AFYA HOSPITAL DIA
4518918,AIO,AIO INSTITUTO DE CANCER FILIAL BIOSPHERE
4501756,AIO,AIO INSTITUTO DE CANCER MATRIZ
9024654,ALIANCA,ALIANCA CENTRO MEDICO
9031340,ASF,ASF SOBRADINHO
0727377,CADH,CADH REGIAO LESTE
2340208,CAIS,CAIS I
7219695,CAPS AD,CAPS AD BRASILIA RODOVIARIA
7094116,CAPS AD ITA,CAPS AD ITAPOA
7055919,CAPS AD SMA,CAPS AD SANTA MARIA
3372375,CAPS GUA,CAPS GUARA
7698437,CAPS I RDE,CAPS I RECANTO DAS EMAS
7552270,CAPS I SOB,CAPS I SOBRADINHO
5167892,CAPS II PAR,CAPS II PARANOA
6666701,CAPS II PLA,CAPS II PLANALTINA
6665098,CAPS II SAM,CAPS II SAMAMBAIA
5447410,CAPS II TAG,CAPS II TAGUATINGA
7740794,CAPSI AN,CAPSI ASA NORTE
7213824,CARRETA,CARRETA DA SAUDE OFTALMO CLINICA
7898215,CASAI,CASAI BRASILIA
3055450,CBV,CBV
3077098,CEAL,CEAL LP
0511501,CEDHIC,CEDHIC GUARA
0010596,CEDIN,CEDIN
0010715,CEDOH,CEDOH ASA NORTE
7653131,CNCDO,CENTRAL DE NOTIF CAPIT DIST DE ORGAOS DE RORAIMA CNCDO
0011193,CRT,CENTRAL DE RADIOLOGIA DE TAGUATINGA
7905610,CET-DF,CENTRAL ESTADUAL DE TRANSPLANTES DO DISTRITO FEDERAL
9710248,CCJB,CENTRO CLINICO JARDIM BOTANICO
6585760,CAPS AD III CEI,CENTRO DE ATENCAO PSICOSSOCIAL AD III CEILANDIA
9589724,CAPS I BRA,CENTRO DE ATENCAO PSICOSSOCIAL I BRAZLANDIA
9676473,CEO CEI,CENTRO DE ESPECIALIDADES ODONTOLOGICAS CEILANDIA UNIDADE I
9578560,CEO 11,CENTRO DE ESPECIALIDADES ODONTOLOGICAS CEO 11
0011142,COMPP,CENTRO DE ORIENTACAO MEDICO PSICOPEDAGOGICO COMPP
7902441,CS MARAVILHA,CENTRO DE SAUDE SETOR NORTE MARAVILHA
3492222,CEO,CENTRO ESPECIALIZADO DE ODONTOLOGIA CEO
9715797,CEO GUA,CENTRO ESPECIALIZADO DE ODONTOLOGIA DO GUARA
7988303,CER II TAG,CENTRO ESPECIALIZADO EM REABILITACAO CER II TAGUATINGA
0010766,CEO 712/912,CEO 712 912 SUL
9778136,CEO AN,CEO ASA NORTE
9772243,CEO PAR,CEO PARANOA
9690735,CEO PLA,CEO PLANALTINA
9622845,CEO TAG,CEO POLICLINICA DE TAGUATINGA
9690719,CEO SOB,CEO SOBRADINHO
0253804,CEPAV,CEPAV GIRASSOL
9580816,CESMU,CESMU
3172236,CEL,CLINICA DE ESPECIALIDADES DE LUZIANIA
4275608,CLIN JOAO CARLOS,CLINICA DE OFTALMOLOGIA JOAO CARLOS
7929129,COJE,CLINICA DE OLHOS DR JOAO EUGENIO
7299516,CR CUIABA,COMPLEXO REGULADOR DE CUIABA
3044432,CRDF,COMPLEXO REGULADOR EM SAUDE DO DISTRITO FEDERAL CRDF
0019542,CS ABRAAO,CS ABRAAO
10731,CSB 09 CRU,CSB 09 CRUZEIRO
11355,CSB 15 VPL,CSB 15 VILA PLANALTO
0010979,CSC 01 CEI,CSC 01 CEILANDIA
11207,CSC 10 CEI,CSC 10 CEILANDIA
11258,CSS 03 SOB,CSS 03 SOBRADINHO
10685,CSSA 04 SAM,CSSA 04 SAMAMBAIA
5479878,DAVITA,DAVITA SERVICOS DE NEFROLOGIA DISTRITO FEDERAL LTDA
9471456,ELO,ELO CONTACT CENTER
0011339,HEMODF,FUNDACAO HEMOCENTRO
2616718,HOB,HOB BRASILIA
0255416,HODF,HODF
6876617,HCB,HOSPITAL DA CRIANCA DE BRASILIA JOSE ALENCAR HCB
7978642,HDLS,HOSPITAL DAHER LAGO SUL SA
2649527,HAB,HOSPITAL DE APOIO DE BRASILIA HAB
0010456,HBDF,HOSPITAL DE BASE DO DISTRITO FEDERAL
7423136,HO GAMA,HOSPITAL DE OLHOS DO GAMA
0010537,HMIB,HOSPITAL MATERNO INFANTIL DR ANTONIO LISBOA
5882451,HM JARDIM INGA,HOSPITAL MUNICIPAL DO JARDIM INGA
0010480,HRC,HOSPITAL REGIONAL DE CEILANDIA
2534967,HR FORMOSA,HOSPITAL REGIONAL DE FORMOSA DR CESAR SAAD FAYAD
2814897,HRGu,HOSPITAL REGIONAL DO GUARA I
2815966,HSL,HOSPITAL SANTA LUCIA
2649497,HSMT,HOSPITAL SANTA MARTA TAGUATINGA
6730914,HSM,HOSPITAL SAO MATEUS
0010618,HSVP,HOSPITAL SAO VICENTE DE PAULO HSVP
0010510,HUB,HOSPITAL UNIVERSITARIO DE BRASILIA
0010464,HRAN,HRAN
0010545,HRBZ,HRBZ
0010472,HRG,HRG
2645157,HRL,HRL
0010529,HRPL,HRPL
0010502,HRS,HRS
2672197,HRSAM,HRSAM HOSPITAL REGIONAL DE SAMAMBAIA
5717515,HRSM,HRSM
0010499,HRT,HRT HOSPITAL REGIONAL DE TAGUATINGA
3553566,INFINITA,INFINITA MEDICINA DIAGNOSTICA
3276678,ICTDF,INSTITUTO DE CARDIOLOGIA E TRANSPLANTES DO DISTRITO FEDERAL
7957815,IRT,IRT
9762671,MAT INFANTIL,MATERNO INFANTIL
2779366,OFTALMED,OFTALMED
9896791,OFTALMED,OFTALMED
4457641,ONCOCLINICAS,ONCOCLINICAS CETTRO CENTRO DE TRATAMENTO ONCOLOGICO
9778144,POL AN,POLICLINICA ASA NORTE
9516204,POL SSB,POLICLINICA DA ATENCAO SECUNDARIA DE SAO SEBASTIAO
